model,year,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,seating_capacity,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,annual_sales_units,customer_rating,warranty_years,range_efficiency,price_per_range_mile,power_to_weight,torque_to_weight,battery_to_weight,vehicle_age,drive_type_FWD,drive_type_RWD,body_type_Hatchback,body_type_SUV,body_type_Sedan,body_type_Truck,body_type_Van,country_of_origin_Germany,country_of_origin_Japan,country_of_origin_South Korea,country_of_origin_Sweden,country_of_origin_US,market_segment_Luxury,market_segment_Mid-range,market_segment_Premium,brand_BMW,brand_BYD,brand_Fisker,brand_Ford,brand_GM/Chevrolet,brand_Honda,brand_Hyundai,brand_Kia,brand_Lucid,brand_Mercedes,brand_NIO,brand_Polestar,brand_Porsche,brand_Rivian,brand_Tesla,brand_Toyota,brand_Volkswagen,brand_Volvo,brand_Xiaomi,variant_Long Range,variant_Performance,variant_Premium,variant_Standard
ID. Buzz,2023,104880.8,118.7,400.0,234.5,3.04,195.0,1000.0,895.0,7,54.2,2015.0,4,2,202182,4.0,4,3.369839932603201,262.202,0.49627791563275436,0.4441687344913151,0.058908188585607944,3,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
bZ Compact SUV,2022,48217.41,58.8,219.0,148.1,5.77,159.0,381.0,360.0,5,69.0,1709.0,4,0,7146,3.56,3,3.7244897959183674,220.17082191780824,0.22293739028671739,0.2106495026331188,0.03440608543007607,4,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
Bolt EV,2024,49651.12,58.2,225.0,104.9,6.84,148.0,588.0,516.0,5,77.0,1533.0,4,1,16590,3.7,3,3.865979381443299,220.67164444444447,0.3835616438356164,0.33659491193737767,0.03796477495107632,2,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Sportage EV,2024,38131.56,102.5,349.0,66.5,4.66,176.0,310.0,327.0,7,65.8,1935.0,4,2,127201,3.81,3,3.4048780487804877,109.25948424068767,0.16020671834625322,0.16899224806201552,0.05297157622739018,2,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Model 3,2022,144079.87,93.9,314.0,298.5,5.64,165.0,1000.0,883.0,5,38.3,2229.0,4,2,196401,3.83,4,3.343982960596379,458.8530891719745,0.4486316733961418,0.39614176760879316,0.04212651413189771,4,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Model Y,2023,119590.27,78.3,251.0,334.6,2.84,200.0,947.0,858.0,5,35.5,1751.0,5,3,411764,3.67,5,3.2056194125159645,476.45525896414347,0.5408338092518561,0.49000571102227297,0.04471730439748715,3,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Model 3,2024,128427.66,68.6,222.0,201.9,6.68,149.0,992.0,899.0,5,39.3,1500.0,5,2,213937,3.54,6,3.2361516034985427,578.502972972973,0.6613333333333333,0.5993333333333334,0.04573333333333333,2,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
EQS,2025,131074.23,82.7,292.0,202.5,2.99,200.0,764.0,737.0,7,61.2,2219.0,4,2,48277,4.11,8,3.5308343409915355,448.8843493150685,0.34429923388913924,0.33213159080666965,0.03726904010815683,1,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Niro EV,2021,80530.57,54.6,184.0,67.5,7.57,137.0,976.0,864.0,7,36.7,1511.0,3,1,90830,3.11,4,3.36996336996337,437.6661413043479,0.6459298477829252,0.57180675049636,0.03613500992720053,5,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Blazer EV,2025,56944.53,69.9,251.0,117.1,6.68,149.0,703.0,604.0,7,67.6,1520.0,5,2,8761,3.46,5,3.590844062947067,226.8706374501992,0.4625,0.3973684210526316,0.04598684210526316,1,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Model S,2026,134165.81,103.2,347.0,324.4,4.56,187.0,993.0,949.0,5,26.7,1720.0,4,2,211478,3.78,4,3.3624031007751936,386.6449855907781,0.5773255813953488,0.5517441860465117,0.060000000000000005,0,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Ronin,2025,88914.19,66.7,232.0,129.5,5.1,173.0,727.0,689.0,7,64.7,2536.0,3,2,2408,3.67,5,3.4782608695652173,383.2508189655172,0.2866719242902208,0.27168769716088326,0.026301261829653,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
EQG,2025,210811.92,93.2,320.0,166.5,2.84,200.0,1000.0,919.0,7,17.6,1562.0,5,2,56039,3.59,7,3.4334763948497855,658.7872500000001,0.6402048655569782,0.588348271446863,0.05966709346991037,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Seagull,2023,16394.33,41.8,158.0,73.9,6.41,155.0,150.0,200.0,5,26.9,1744.0,5,0,224997,3.58,5,3.779904306220096,103.76158227848103,0.0860091743119266,0.11467889908256881,0.02396788990825688,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Model 3,2024,95912.83,49.8,167.0,241.7,7.45,138.0,716.0,627.0,7,15.7,1556.0,4,3,124780,3.56,5,3.3534136546184743,574.3283233532934,0.4601542416452442,0.40295629820051415,0.032005141388174806,2,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Model S,2024,134964.13,67.4,250.0,343.3,7.46,135.0,992.0,875.0,5,76.0,1500.0,5,2,235048,3.81,5,3.7091988130563793,539.85652,0.6613333333333333,0.5833333333333334,0.04493333333333334,2,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Atto 3,2024,64427.02,70.5,265.0,51.0,6.91,138.0,711.0,662.0,7,72.2,2756.0,5,1,204232,3.52,4,3.7588652482269502,243.12083018867924,0.25798258345428154,0.24020319303338172,0.02558055152394775,2,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Kona Electric,2024,63139.95,81.0,275.0,96.7,7.45,141.0,743.0,649.0,5,21.9,1750.0,4,1,132242,3.43,5,3.3950617283950617,229.59981818181816,0.42457142857142854,0.37085714285714283,0.046285714285714284,2,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
ID.4,2024,77030.0,88.0,332.0,118.8,4.75,183.0,826.0,707.0,7,38.7,1634.0,4,0,238587,3.37,4,3.772727272727273,232.01807228915663,0.5055079559363526,0.43268053855569155,0.05385556915544676,2,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Atto 3,2024,72336.67,77.9,295.0,60.5,5.5,178.0,800.0,732.0,5,60.6,1500.0,3,1,168778,3.53,3,3.7869062901155326,245.20905084745763,0.5333333333333333,0.488,0.05193333333333334,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Picanto EV,2025,106848.2,54.1,193.0,132.7,7.95,135.0,1000.0,855.0,5,26.9,1500.0,4,1,85618,3.33,5,3.567467652495379,553.6176165803108,0.6666666666666666,0.57,0.03606666666666667,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
